Év	Java	Python	C/C++	C#	Javascript	PHP	R
2005	0,296	0,029	0,097	0,054	0,081	0,198	0,004
2006	0,297	0,040	0,085	0,063	0,080	0,197	0,005
2007	0,301	0,041	0,081	0,081	0,084	0,199	0,006
2008	0,304	0,048	0,080	0,080	0,081	0,196	0,008
2009	0,282	0,062	0,085	0,078	0,080	0,188	0,009
2010	0,281	0,065	0,108	0,064	0,074	0,186	0,011
2011	0,282	0,067	0,122	0,064	0,068	0,162	0,013
2012	0,276	0,078	0,119	0,064	0,072	0,156	0,014
2013	0,265	0,085	0,087	0,095	0,071	0,142	0,019
2014	0,262	0,099	0,081	0,097	0,073	0,131	0,022
2015	0,256	0,106	0,080	0,092	0,073	0,119	0,026
2016	0,240	0,123	0,077	0,089	0,076	0,111	0,030
2017	0,229	0,152	0,075	0,086	0,080	0,101	0,035
2018	0,201	0,220	0,065	0,078	0,082	0,083	0,042
2019	0,210	0,250	0,061	0,074	0,081	0,072	0,039
2020	0,185	0,287	0,059	0,071	0,080	0,061	0,037
2021	0,167	0,302	0,062	0,065	0,084	0,060	0,038
2022	0,181	0,288	0,073	0,073	0,091	0,061	0,042
2023	0,166	0,275	0,068	0,069	0,096	0,052	0,040
2024	0,157	0,281	0,066	0,066	0,089	0,045	0,046
